"cocktail hashtag","Women amongst users"
"johnniewalker","21.3"
"scotch","27.7"
"hennessy","28.6"
"whiskey","29.4"
"jackdaniels","30.4"
"cognac","31.9"
"absolut","33"
"johnnywalker","33.8"
"captainmorgan","34.6"
"jagermeister","35.4"
"whisky","36.2"
"jimbeam","37"
"crystalheadvodka","37.8"
"bourbon","38.6"
"greygoose","39.4"
"ciroc","40.2"
"whiterussian","41"
"liquor","41.8"
"bacardi","42.6"
"sazerac","43.4"
"absinthe","44.2"
"jameson","45"
"agave","45.8"
"fernet","46.6"
"patron","47.4"
"cachaca","48.2"
"caipirinha","53.3"
"brandy","54.1"
"schnapps","56.5"
"martinis","58.1"
"cocktail","58.9"
"mojitos","59.7"
"baileys","60.5"
"kahlua","61.3"
"daiquiri","66.1"
"pinacolada","66.9"
"margaritas","67.7"
"pimms","68.7"
"sexonthebeach","71.2"
"cosmo","73.5"
